### SECTION 1: NIST 800-53 SECURITY CONTROL MATRIX (UHCC BASELINE) ###
Control Family,Control ID,Control Name,Control Description,UH Policy Alignment (EP 2.214),UHCC Implementation Status,NSPM-33 / NIH Relevance,MFA/Phishing-Resistant Required,Ransomware Recovery Task,Responsible Party (ISSM/ITS/PI),Review Date,Comments/Evidence
Access Control,AC-2,"Account Management","Manage system accounts (create, activate, modify, disable, and remove).","Section 3.1: Access Control","Pending Audit","Cyber Pillar: Identity Management","Yes","Audit 400 researchers for orphaned accounts.","ISSM / Dept IT",2026-05-15,"Critical for RCUH/Grad Student offboarding."
Access Control,AC-3,"Access Enforcement","Enforce approved authorizations for logical access to information and system resources.","Section 3.1.2: Least Privilege","Partial","Cyber Pillar: Data Access","Yes","Network segmentation between Lab and Clinical.","UH ITS / ISSM",2026-06-01,"Isolate Hawaii Tumor Registry SEER data."
Identification & Auth,IA-2,"Identification and Authentication (Org Users)","Uniquely identify and authenticate organizational users.","Section 3.5: Identification and Authentication","In Progress","Cyber Pillar: Authentication","Yes (Yubikey)","Enforce phishing-resistant MFA for all servers.","ISSM",2026-05-25,"NIH May 2026 RST Certification deadline."
Incident Response,IR-4,"Incident Handling","Implement an incident handling capability for security incidents.","Section 3.6: Incident Response","Implemented (Updated)","Cyber Pillar: Response and Recovery","No","Post-2025 Ransomware Recovery Plan alignment.","UH ITS / ISSM",2026-04-30,"Validated by UH Information Security Task Force."
System & Comm Prot,SC-7,"Boundary Protection","Monitor and control communications at external and internal boundaries.","Section 3.13: System and Communications Protection","Pending","Cyber Pillar: Network Security","No","Move sensitive servers to UH ITS Data Center.","UH ITS / PI",2026-07-01,"July 2026 NSPM-33 Deadline."
Configuration Mgmt,CM-8,"Information System Component Inventory","Develop and maintain an inventory of system components.","Section 3.4: Configuration Management","Planned","Cyber Pillar: Asset Management","No","Launch AI Tool Discovery Survey to 400 staff.","ISSM / Lab PIs",2026-05-30,"Identify 'Shadow AI' and local HPC instances."
Awareness & Training,AT-2,"Security Awareness Training","Provide basic security awareness training to system users.","Section 3.2: Awareness and Training","In Progress","Training Pillar: Mandatory RST","No","100% completion of ISAT and RST modules.","All Staff / RCUH",2026-05-25,"Required for all NIH Key Personnel."
Contingency Planning,CP-9,"System Backup","Conduct backups of user-level and system-level information.","Section 3.8: Contingency Planning","High Priority","Cyber Pillar: Recovery","No","Immutable backups for historical epidemiology data.","UH ITS / PI",2026-06-15,"Direct response to August 2025 breach."
Audit & Accountability,AU-2,"Event Logging","Determine that the system is capable of generating audit records.","Section 3.3: Audit and Accountability","Implementing","Cyber Pillar: Monitoring","No","Deploy 24/7 endpoint monitoring on 400 devices.","UH ITS (SOC)",2026-07-01,"Mandated by UH President post-breach."
Maintenance,MA-3,"Maintenance Tools","Approve, control, and monitor maintenance tools.","Section 3.7: Maintenance","Planned","Cyber Pillar: Tool Integrity","No","Audit AI model training tools (Koa/Mana clusters).","ISSM / CI Team",2026-08-01,"Ensure local AI tools don't exfiltrate data."

### SECTION 2: AI TOOL CORRELATION INVENTORY (UHCC USAGE) ###
Lab/Department,PI Name,AI Tool Name,Version/Deployment (Web/Enterprise/Local),Data Classification (EP 2.214),Data Type (Clinical/Genomic/Admin),User Groups (UH/RCUH/Foreign),Risk Tier (1-3),Compliance Status (Approved/Pending/Prohibited),DSR/Security Review ID,NIST 800-171 Controls,NSPM-33 Pillar,MFA Status (Phishing-Resistant),Storage Location (ITS Data Center/Local),Last Audit Date,Review/Renewal Date,Notes
Epidemiology,Dr. Smith,ChatGPT (Public),Web Browser,Sensitive (PII),Grant Writing,UH Faculty,Tier 3,Approved,N/A,"3.1.1, 3.5.3",Training,Yubikey,N/A,2026-04-30,2027-04-30,No regulated data entry allowed.
Clinical Trials Unit,Dr. Jones,Local Llama 3,On-prem (HPC Koa),Regulated (HIPAA),Patient Trial Data,UH/RCUH Staff,Tier 1,Pending,DSR-2026-001,"3.1.1, 3.1.2, 3.10.1",Cyber,Yubikey,ITS Data Center,2026-04-30,2026-10-30,Air-gapped instance; no external API calls.
Genomics Lab,Dr. Lee,BioGPT,Enterprise (BAA),Sensitive (Proprietary),Genomic Sequences,Grad Students,Tier 2,Approved,SR-8842,"3.4.1, 3.13.1",Export Control,Duo,Cloud (Vetted),2026-04-30,2027-04-30,Requires BAA for "No-Training" clause.
Administrative Office,M. Tanaka,Microsoft Copilot,Enterprise (UH Managed),Restricted,Meeting Notes/Schedules,All Staff,Tier 3,Approved,Enterprise License,3.1.1,N/A,Duo,OneDrive,2026-04-30,2027-04-30,Standard UH Enterprise deployment.
